type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP102320_B85AF206-1221-4FFB-B517-C15B0B6038FF_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp102320-b85af206-1221-4ffb-b517-c15b0b6038ff-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP102320_B85AF206-1221-4FFB-B517-C15B0B6038FF_2015-5-14	102320		C.R. Gilbert, J.C. Tyler	17							17 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed					Sta.3											G64-32	21 October 1964				1964	10	21	21 October 1964		chemfish						0		Atlantic Ocean			Cayman Islands	CYM	Grand Cayman Island			Prospect Point, S side of island, just E of South Sound, Sta. 3.							3-6 ft				Gradual slope of rock and rubble, small holes and crevices; small isolated staghorn coral. See FN.	19.267639	-81.339829	WGS 84	1131									beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/25 3:54:50 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Error covers area around Prospect Point.																						J.E.Bohlke, 1965							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP102335_EC5FEA77-1CA7-4B97-9F72-83C71E6093FA_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp102335-ec5fea77-1ca7-4b97-9f72-83c71e6093fa-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP102335_EC5FEA77-1CA7-4B97-9F72-83C71E6093FA_2015-5-14	102335		C. R. Gilbert, J. C. Tyler	4							4 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed					Sta.1											G64-30	20 October 1964				1964	10	20	20 October 1964		chemfish						0		Atlantic Ocean			Cayman Islands	CYM	Grand Cayman Island			SW corner of island, rocks in front of Seaview Lodge, SW course of island.							2-12 ft				= Sta.1. Crevassed rocks, coralline mud, valley in between; water clear; no vegetation. See FN.	19.294982	-81.384461	WGS 84	6593									beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/25 4:05:27 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Error cover SW side of Grand Cayman Island.																						J.E.Bohlke, 1965							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP103769_E3878ED4-D051-4339-A2B5-FA3802962CD3_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp103769-e3878ed4-d051-4339-a2b5-fa3802962cd3-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP103769_E3878ED4-D051-4339-A2B5-FA3802962CD3_2015-5-14	103769		J. E. Bohlke et al*	57							57 alc; 0 sk; 0 c&s	in ANSP collection																F-92	6 March 1964				1964	3	6	6 March 1964		dynamite						0		Indian Ocean			Seychelles Islands					Amirante Islands; D'Arros Island; off NE end of island.							10-12 ft				*D.Dockins,R.Rosenblatt,W.Starck II, J.Tyler,K.Hill. IIOE. Bottom coral, sand, coral rubble. See FN.	-5.40331	53.313969	WGS 84	1574			5°25'S	53°18'E					Michelle Vanderwel, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2014/03/20 10:04:46 AM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Uncertainty includes area off NE end of D'Arros Island to vicinity of Ressource Island.																													Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP104966_4B2BDE02-D458-4FB0-B498-ECDDB0C43D85_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp104966-4b2bde02-d458-4fb0-b498-ecddb0c43d85-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP104966_4B2BDE02-D458-4FB0-B498-ECDDB0C43D85_2015-5-14	104966		C. R. Gilbert, J. C. Tyler	4							4 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																G64-38	24 October 1964				1964	10	24	24 October 1964		chemfish						0		Atlantic Ocean			Cayman Islands	CYM	Grand Cayman Island			W side of island, rocks ca 75 yds offshore from Soto's Marina, N side of Georgetown.							5-12 ft				= Sta.9. Several small elkhorn coral heads on rough hard bottom; water slightly turbid; no vegetation. See FN.	19.312744	-81.388484	WGS 84	3284									beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/22 11:43 AM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Error covers area North of Georgetown.																													Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP104987_0D0E52A9-4882-43C4-A7A7-D63331D2F9C2_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp104987-0d0e52a9-4882-43c4-a7a7-d63331d2f9c2-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP104987_0D0E52A9-4882-43C4-A7A7-D63331D2F9C2_2015-5-14	104987		C. R. Gilbert, J. C. Tyler	3							3 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																G64-48	28 October 1964				1964	10	28	28 October 1964		chemfish						0		Atlantic Ocean			Cayman Islands	CYM	Grand Cayman Island			W side of island, off shore N of Georgetown, not far N of Pagent Beach Hotel.							1-2 ft				= Sta.19. Close to shore; bottom rubble and rocks; water clear, turbulent; no vegetation. See FN.	19.312744	-81.388484	WGS 84	3284									beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/25 4:12:33 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Error covers area North of Georgetown.																													Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP105083_21A16423-13A0-4D13-92B4-DB1F7AC285C7_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp105083-21a16423-13a0-4d13-92b4-db1f7ac285c7-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP105083_21A16423-13A0-4D13-92B4-DB1F7AC285C7_2015-5-14	105083		C. R. Gilbert, J. C. Tyler	4							4 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																G64-47	28 October 1964				1964	10	28	28 October 1964		chemfish						0		Atlantic Ocean			Cayman Islands	CYM	Grand Cayman Island			North Sound, SW corner, near airport.											= Sta.18. Among mangrove roots over soft mud; water brown but clear; much turtle grass on bottom, few open areas. See FN	19.304984	-81.342088	WGS 84	1563									beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/25 4:37:31 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04																														Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106461_69285551-2792-4262-8016-A087F3149A64_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp106461-69285551-2792-4262-8016-a087f3149a64-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106461_69285551-2792-4262-8016-A087F3149A64_2015-5-14	106461		J. E. Bohlke, C.C.G. & G.W. Chaplin, H.R. & R.B. Roberts, A. Kemp.	14							14 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																B-393	11 July 1957				1957	7	11	11 July 1957		rotenone						0		Atlantic Ocean			Bahamas	BHS	Great Bahama Bank			Andros; tidal creek on S shore of southern Bight, near E end, Sta. 393.							0-15 ft				Bottom silty, eroded limestone; THALASSIA, algae. See FN.	24.190396	-77.636843	WGS 84	4427			24°12'35''N	77°37'0''					beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/20 2:18:57 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04																							J.E.Bohlke, 1966							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106462_C7627C94-DB80-40A4-B7A0-02F31B2B3BA2_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp106462-c7627c94-db80-40a4-b7a0-02f31b2b3ba2-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106462_C7627C94-DB80-40A4-B7A0-02F31B2B3BA2_2015-5-14	106462		J. E. Bohlke et al*	1							1 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																B-480	1959-05-05		125	125	1959	5	5	5 May 1959		rotenone						0		Atlantic Ocean			Bahamas	BHS	Great Bahama Bank			Hog Island; Cabbage Beach on N shore, just E of entrance to Wennergren's canal.							0-5 ft				*C.C.G.Chaplin, H.R.& R.B.Roberts. Bottom sand and large flat rocks, covered by low brown algae; water clouded. See FN.	25.086481	-77.319064	WGS 84	599			25°5'N	77°20'W					beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/20 12:30:52 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04																							J.E.Bohlke, 1966							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106464_AA429C68-284C-4BF0-87CD-89E87322A0F2_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp106464-aa429c68-284c-4bf0-87cd-89e87322a0f2-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106464_AA429C68-284C-4BF0-87CD-89E87322A0F2_2015-5-14	106464		J. E. Bohlke, C.C.G. Chaplin, H.R. & H. Roberts.	5							5 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																B-205	5 April 1955				1955	4	5	5 April 1955		rotenone						0		Atlantic Ocean			Bahamas	BHS	Great Bahama Bank			Silver Cay; small bay on S shore.							0-3.5 ft				Small rocks interspersed with white sand; water clear; small brown plants. See FN.	25.086406	-77.361446	WGS 84	730			25°5'39''N	77°22'55''W			POLYGON ((-77.367497 25.088388, -77.365566 25.087008, -77.362176 25.086794, -77.354794 25.085628, -77.354322 25.085259, -77.360803 25.085376, -77.364815 25.085745, -77.366682 25.085881, -77.368549 25.086969, -77.367497 25.088388))		beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/19 4:33:41 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04																							J.E.Bohlke, 1966							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
PhysicalObject		CC0			Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Record ID: urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106465_CB4BE410-E7AF-439F-B388-BCCE4F290690_2015-5-14. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	http://portal.vertnet.org/o/ansp/fish?id=urn-lod-ansp-org-catalog-ansp-fish-ansp106465-cb4be410-e7af-439f-b388-bcce4f290690-2015-5-14				ANSP	FISH		PreservedSpecimen				urn:lod.ansp.org/catalog:ANSP:FISH:ANSP106465_CB4BE410-E7AF-439F-B388-BCCE4F290690_2015-5-14	106465		J.E. Bohlke, C.C.G. Chaplin, H.R. & H. Roberts	2							2 alc; 0 sk; 0 c&s	in ANSP collection presumably, but status unconfirmed																B-209	8 April 1955				1955	4	8	8 April 1955		rotenone						0		Atlantic Ocean			Bahamas	BHS	Great Bahama Bank			Rose Island; bay on N shore near W end.							0-4 ft				White sand, rows of plant remains; patches of THALASSIA; water clear. See FN.	25.086579	-77.343933	WGS 84	1053			25°5'47''N	77°12'44''W			POLYGON ((-77.354015 25.088952, -77.354037 25.088466, -77.3535 25.087514, -77.351547 25.086911, -77.349509 25.086931, -77.347535 25.086406, -77.346011 25.08627, -77.345132 25.086037, -77.343351 25.085396, -77.341741 25.08526, -77.340175 25.085026, -77.338566 25.085026, -77.335905 25.084929, -77.33451 25.084949, -77.333652 25.084949, -77.33363 25.085648, -77.339059 25.086775, -77.346977 25.088078, -77.350539 25.088622, -77.354015 25.088952))		beniorkino, FishNet 2 Collaborative Georeferencing Project 2012-2015 (NSF DBI-1202953)	2013/11/19 1:47:28 PM	GEOLocate (Rios & Bart, 2010)		CoGe_corrected_2015-02-04	Polygon covers North coast of Hog Island, on the west side.																						J.E.Bohlke, 1966							Abudefduf saxatilis						Animalia	Chordata	Actinopteri	Perciformes	Pomacentridae	Abudefduf		saxatilis		species				ICZN											Academy of Natural Sciences of Philadelphia. ANSP Ichthyology. Source: http://phylo.ansp.org:8080/ipt/resource.do?r=ansp_ich (source published on 2015-08-31)	temp-ansp-ich-datasetid	f9b67ad0-9c9b-11d9-b9db-b8a03c50a862	bdim@ansp.org	Biodiversity Informatics Manager	2015-08-31	2016-08-12	no migrator	0	0	0	0		specimen	0
