id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
116797,Isla Coibita,7.6347917081,-81.7040099634,526,,,,526,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
143841,"galapagos, ec",-0.8292784,-90.9820668,253593,,,,253593,,open,false,,google,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
172422,"Playa Himalaya, Sonora, Mexico",28.1506383845,-111.3181972504,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
229628,La Cruz de Huanacaxtle,20.7492113526,-105.3786277771,224,,,,224,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
412371,playas del coco,10.570678,-85.710182,2419,,,,2419,,,false,,,Abudefduf troschelii,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
412372,playas del coco,10.570678,-85.710182,2419,,,,2419,,,false,,,Abudefduf troschelii,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
543311,Rancho Los Venados Mazatlán Sinaloa Mexico,23.30868,-106.490307,488,,,,488,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1158931,"San Pedro Pochutla, Oaxaca, México",15.669125,-96.4817133333,50,,,,50,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1212846,Nayarit,20.750583,-105.371254,64,,,,64,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1234789,"Isabela island, Galápagos arch., Ecuador.",-0.970956,-90.962763,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1408102,Nopoló,25.920649,-111.343925,119,,,,119,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1706379,"",24.528626,-110.370278,30,,,,30,,,false,,,Abudefduf troschelii,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1917608,Isla Coronado Baja california sur,26.105196,-111.274166,954,,,,954,,open,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
1917666,Isla Coronado Baja california sur,26.119149,-111.27556,3357,,,,3357,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2298033,Cabo San Luis--Marina,22.882528,-109.909731,374,,,,374,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2298037,Cabo San Luis--Marina,22.882528,-109.909731,374,,,,374,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2298044,Cabo San Luis--Marina,22.882528,-109.909731,374,,,,374,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2298047,Cabo San Luis--Marina,22.882528,-109.909731,374,,,,374,,open,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2299307,Cabo San Luis--Playa Santa Maria,22.929421,-109.815342,120,,,,120,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2299314,Cabo San Luis--Playa Santa Maria,22.929421,-109.815342,120,,,,120,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2299315,Cabo San Luis--Playa Santa Maria,22.929421,-109.815342,120,,,,120,,,false,,"",Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2307088,"Bahia Solano, Chocó, Colombia",6.211448,-77.332443,67667,,,,67667,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2377788,Cabo San Lucas,22.89839,-109.864241,,,,,,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2521422,"Alrededores del Faro de Mazatlán, Sinaloa",23.179134,-106.424285,19,,,,19,,,false,,manual,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2521501,"La Paz, MX-BS, MX",24.2687237757,-110.3911833974,,,,,30090,obscured,open,true,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2544121,"La Paz, Baja California Sur, México",24.3339833333,-110.3266944444,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2561482,"La Paz, Baja California Sur, México",24.3230805556,-110.329575,,,,,,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
2982715,"Loreto, MX-BN, MX",26.110859,-111.285152,2635,,,,2635,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
3815954,"Campamento de Playa Blanco, Veraguas Province, Panama",7.290213,-81.781862,,,,,,,open,false,,"",Abudefduf troschelii,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
3905332,"Coiba Island, Panama",7.4693076,-81.7568253,26605,,,,26605,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4212788,"Galápagos Islands, Ecuador",-0.9537691,-90.9656019,261390,,,,261390,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4212789,"Galápagos Islands, Ecuador",-0.9537691,-90.9656019,261390,,,,261390,,,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4284703,"Loreto, MX-BS, MX",26.1375629131,-111.2702178955,122,,,,122,,,false,,,Petaca banderita,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
4695824,"Ensenada, Baja California, Mexico",29.83235,-114.4017683333,,,,,,,open,false,,,Panamic Sergeant Major,Abudefduf troschelii,Panamic Sergeant Major,Actinopterygii,92989
